sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,weight,product_online,tax_class_name,visibility,price,special_price,url_key,brand,strain,sava_product_type,helps_with,daytime_nightime,cannabinoids,region,psychoactivity,cbd_thc_ratios,terpenes,dose,size,color,scent,flavor,qty,use_config_min_qty,is_qty_decimal,is_in_stock,stock_status,manage_stock,source_tracking_mode,configurable_variations,configurable_variation_labels,associated_skus,intro_text,short_description,description,ingredients,dosing,base_image,small_image,thumbnail_image,additional_images,internal_name,errors
S94DPRO1,,Flower,simple,"Shop/Products/Inhale/Flower,Shop/Explore/Cannabinoids/THC,Shop/Explore/Strain/Hybrid/Sativa-Dominant,Shop/Explore/Helps With/Mood,Shop/Explore/Helps With/Pain,Shop/Explore/Helps With/Hangover,Shop/Explore/Feeling/Daytime",base,"Blue Dream Half Ounce Flower",,1,,"Catalog, Search",99,,henrys-original-blue-dream-half-ounce-flower,"Henry's Original","Sativa-Dominant Hybrid",Flower,Mood|Pain|Hangover,Daytime,THC,Mendocino,,,,,,,,,3,1,,1,1,1,None,,,,"Creates a happy high without sedative effects that's great for daytime use.","<p>Blue Dream is an uplifting and energizing sativa-dominant hybrid. This flower delivers full body relaxation without heavy sedative effects.</p>","<p>Blue Dream is an uplifting and energizing sativa-dominant hybrid. This flower delivers full body relaxation without heavy sedative effects, which makes for a happy high that's great for daytime use. Contains notes of sweet berry.</p>","<p>Pure cannabis flower</p>","<p>19.7% THC</p>",https://images.ctfassets.net/4a6u5f7bz40f/BrEyV8M2TuRGckZdz7KYZ/a21b931e63930a715f8d3e1021f429e3/IMG_3720.jpg,https://images.ctfassets.net/4a6u5f7bz40f/BrEyV8M2TuRGckZdz7KYZ/a21b931e63930a715f8d3e1021f429e3/IMG_3720.jpg,https://images.ctfassets.net/4a6u5f7bz40f/BrEyV8M2TuRGckZdz7KYZ/a21b931e63930a715f8d3e1021f429e3/IMG_3720.jpg,,"Henry's Original - Blue Dream Half Ounce Flower",
S6DEPRO1,,Flower,simple,"Shop/Products/Inhale/Pre-Rolls,Shop/Explore/Cannabinoids/THC,Shop/Explore/Strain/Indica,Shop/Explore/Helps With/Anxiety,Shop/Explore/Helps With/Appetite Stimulation,Shop/Explore/Helps With/Mood,Shop/Explore/Helps With/Sleep,Shop/Explore/Helps With/Muscle pain,Shop/Explore/Helps With/Pain,Shop/Explore/Helps With/Stress,Shop/Explore/Helps With/Athletic Recovery,Shop/Explore/Feeling/Nighttime",base,"Granddaddy Purple Single Pre-Roll",,1,,"Catalog, Search",9,,henrys-original-granddaddy-purple-single-pre-roll,"Henry's Original",Indica,Pre-Rolls,"Anxiety|Appetite Stimulation|Mood|Sleep|Muscle pain|Pain|Stress|Athletic Recovery",Nighttime,THC,Mendocino,,,,,,,,,18,1,,1,1,1,None,,,,"A nighttime strain that's relaxing, sleepy, and euphoric.","<p>Legndary GDP. This cultivar smokes and tastes like roses. It's floral, sweet, and deep purple fruity notes leave nothing to be desired. Watch as your muscle and joint pain melts away... But be careful not to smoke too much, unless you want to fall asleep!</p>","<p>Legendary GDP. This cultivar smokes and tastes like roses. It's floral, sweet, and deep purple fruity notes leave nothing to be desired. Watch as your muscle and joint pain melts away... But be careful not to smoke too much, unless you're looking to fall asleep!
An indica that's a cross between Purple Urkle and Big Bud, Graddaddy Purple has a sweet berry and grape aroma with potent mind and body effects. Providing cerebral euphoria and physical relaxation, GDP is great for treating stress, pain, and appetite loss. Recommended for nighttime use, this strain will have you glued to your couch and ready for bed.</p>","<p>Pure cannabis flower</p>",,https://images.ctfassets.net/4a6u5f7bz40f/5LzMKnkAWzbCxBQaSauQtJ/c6303f6f2408db11aaa4339133bd4417/henry-s_original-_granddaddy_purple_1g_single_preroll_above_copy.jpg,https://images.ctfassets.net/4a6u5f7bz40f/5LzMKnkAWzbCxBQaSauQtJ/c6303f6f2408db11aaa4339133bd4417/henry-s_original-_granddaddy_purple_1g_single_preroll_above_copy.jpg,https://images.ctfassets.net/4a6u5f7bz40f/5LzMKnkAWzbCxBQaSauQtJ/c6303f6f2408db11aaa4339133bd4417/henry-s_original-_granddaddy_purple_1g_single_preroll_above_copy.jpg,https://images.ctfassets.net/4a6u5f7bz40f/3TnzO2PnsOJU2zst5jiILc/44f944d87fdbecebefc47b422dfaf080/henry-s_original-_granddaddy_purple_1g_single_preroll_below_copy.jpg,"Henry's Original - Granddaddy Purple Single Pre-Roll",
SE26PRO1,,Flower,simple,"Shop/Products/Inhale/Flower,Shop/Explore/Cannabinoids/THC,Shop/Explore/Strain/Hybrid/Indica-Dominant,Shop/Explore/Helps With/Appetite Stimulation,Shop/Explore/Helps With/Mood,Shop/Explore/Helps With/Energy,Shop/Explore/Helps With/Creativity,Shop/Explore/Helps With/Focus,Shop/Explore/Helps With/Energizing,Shop/Explore/Helps With/Socializing,Shop/Explore/Feeling/Anytime",base,"Spyrock OG Flower",,1,,"Catalog, Search",28,,henrys-original-spyrock-og-flower,"Henry's Original","Indica-Dominant Hybrid",Flower,"Appetite Stimulation|Mood|Energy|Creativity|Focus|Energizing|Socializing",Anytime,THC,Mendocino,,,,,,,,,3,1,,1,1,1,None,,,,"An indica-heavy hybrid that provides uplifting and energetic cerebral effects.","<p>Grown with heirloom Mendocino genetics from the legendary Spyrock area, this strain combines a classic diesel nose and fresh pine flavor, with a slightly peppery finish. Good for meditation, relaxation, enhancing mood, appetite, creativity and focus.</p>","<p>Grown with heirloom Mendocino genetics from the legendary Spyrock area, this strain combines a classic diesel nose and fresh pine flavor, with a slightly peppery finish. This indica-heavy hybrid imbues a deep body relaxation, yet uplifting and energetic cerebral effects. Good for meditation, relaxation, enhancing mood, appetite, creativity and focus.</p>","<p>Pure cannabis flower</p>","<p>0.05% CBD - 25.29% THC</p>",https://images.ctfassets.net/4a6u5f7bz40f/6wI3dk37SxxZEBfbjoovnA/d7c12cfc628f1a1f40522251684346a6/Henrys_Flower_SpyrockOG_162.jpg,https://images.ctfassets.net/4a6u5f7bz40f/6wI3dk37SxxZEBfbjoovnA/d7c12cfc628f1a1f40522251684346a6/Henrys_Flower_SpyrockOG_162.jpg,https://images.ctfassets.net/4a6u5f7bz40f/6wI3dk37SxxZEBfbjoovnA/d7c12cfc628f1a1f40522251684346a6/Henrys_Flower_SpyrockOG_162.jpg,https://images.ctfassets.net/4a6u5f7bz40f/1ykQR14FoZKTXGoMbNhNcS/d3bb2072be9c469b0c67e3437cdd606d/Henrys_Flower_SpyrockOG_164.jpg,"Henry's Original - Spyrock OG Flower",
S7D2PRO2,,Flower,simple,"Shop/Products/Inhale/Pre-Rolls,Shop/Explore/Cannabinoids/THC,Shop/Explore/Strain/Hybrid/Balanced,Shop/Explore/Helps With/Anxiety,Shop/Explore/Helps With/Mood,Shop/Explore/Helps With/Pain,Shop/Explore/Helps With/Stress,Shop/Explore/Feeling/Anytime",base,"Peanut Butter Breath  Single Pre-Roll",,1,,"Catalog, Search",9,,henrys-original-peanut-butter-breath-single-pre-roll,"Henry's Original","Balanced Hybrid",Pre-Rolls,Anxiety|Mood|Pain|Stress,Anytime,THC,Mendocino,,,,,,,,,17,1,,1,1,1,None,,,,"An evenly balanced hybrid with a nutty and earthy flavor.","<p>Peanut Butter Breath is a rare evenly balanced hybrid strain (50% indica/50% sativa) created through crossing the classic Dosidos X Mendobreath F2 strains. With this bud, the name says it all – the flavor is nutty and earthy with a rich herbal overtone.</p>","<p>Peanut Butter Breath is a rare evenly balanced hybrid strain (50% indica/50% sativa) created through crossing the classic Dosidos X Mendobreath F2 strains. With this bud, the name says it all – the flavor is nutty and earthy with a rich herbal overtone.
Beyond the terps, this strain will bring you down into a quality state of chill and relaxation. Originally from ThugPug Genetics, Peanut Butter Breath is very popular and there are many Do-Si-Dos and Mendo Breath crosses out there—breeders Clout King have one called “Peanut Butter Cup.”</p>
<p>Net Wt. = 1 gram/.035 oz</p>","<p>Pure cannabis flower</p>","<p>Approximately 22.8% THC</p>",https://images.ctfassets.net/4a6u5f7bz40f/45gAQq9NJKu06oBxiKAlaC/75a1a3985cc27d83c7e3c30a70ee9c4b/HenrysOriginal_Generic_SinglePreRoll.jpg,https://images.ctfassets.net/4a6u5f7bz40f/45gAQq9NJKu06oBxiKAlaC/75a1a3985cc27d83c7e3c30a70ee9c4b/HenrysOriginal_Generic_SinglePreRoll.jpg,https://images.ctfassets.net/4a6u5f7bz40f/45gAQq9NJKu06oBxiKAlaC/75a1a3985cc27d83c7e3c30a70ee9c4b/HenrysOriginal_Generic_SinglePreRoll.jpg,,"Henry's Original - Peanut Butter Breath  Single Pre-Roll",
S872PRO2,,Edibles,simple,"Shop/Products/Ingest/Edibles,Shop/Explore/Cannabinoids/THC,Shop/Explore/Helps With/Anxiety,Shop/Explore/Helps With/Mood,Shop/Explore/Helps With/Energy,Shop/Explore/Helps With/Pain,Shop/Explore/Helps With/Stress,Shop/Explore/Helps With/Energizing,Shop/Explore/Feeling/Daytime",base,"Orange Gummies",,1,,"Catalog, Search",15,,elefante-orange-gummies,Elefante,,Edibles,Anxiety|Mood|Energy|Pain|Stress|Energizing,Daytime,THC,,,,,,,,,,23,1,,1,1,1,None,,,,"THC gummies that provide a mild, serene high.","<p>Orange is a wellness powerhouse, comprised of all our tastiest, most health-forward ingredients. Pop one as a discreet way to guiltlessly reduce anxiety, relieve pain, or increase energy.</p>","<p>Our flagship flavor, Orange is a wellness powerhouse, comprised of all our tastiest, most health-forward ingredients. Enhanced by the mood-elevating power of real orange zest oil, these gummies burst with orange juiciness while providing a mild, serene high. They'll get you through the day without blasting you to space. Pop one as a discreet way to guiltlessly reduce anxiety, relieve pain, or increase energy.</p>","<p>Tapioca syrup, cane sugar, pectin, citric acid, ascorbic acid (vitamin C), cannabis distillate, wild orange oil, turmeric powder, beet powder, sunflower oil.</p>","<p>Each pack contains 10 x 10 mg pieces, approximately 100 mg THC per pack.</p>",https://images.ctfassets.net/4a6u5f7bz40f/5fw7s7c8bsGAYGSBFmk0dR/c5798c68e2d9d2ff44b1083ccd60f254/elefante-orange-gummies-new.jpg,https://images.ctfassets.net/4a6u5f7bz40f/5fw7s7c8bsGAYGSBFmk0dR/c5798c68e2d9d2ff44b1083ccd60f254/elefante-orange-gummies-new.jpg,https://images.ctfassets.net/4a6u5f7bz40f/5fw7s7c8bsGAYGSBFmk0dR/c5798c68e2d9d2ff44b1083ccd60f254/elefante-orange-gummies-new.jpg,,"Elefante - Orange Gummies",
S72CPRO1,,Edibles,simple,"Shop/Products/Ingest/Edibles,Shop/Explore/Cannabinoids/THC,Shop/Explore/Helps With/Mood,Shop/Explore/Helps With/Inflammation,Shop/Explore/Helps With/Stress,Shop/Explore/Feeling/Daytime,Shop/Explore/High/Medium",base,"Pineapple-Strawberry Gummies",,1,,"Catalog, Search",15,,elefante-pineapple-strawberry-gummies,Elefante,,Edibles,Mood|Inflammation|Stress,Daytime,THC,,Medium,,,,,,,,26,1,,1,1,1,None,,,,"THC gummies for a smooth, calming experience.","<p>Combining premium THC distillate with the anti-inflammatory effects of turmeric, Pineapple-Strawberry gummies also uses the immunity boosting effects of Vitamin C. Delivers mouthwatering, everyday relief directly and deliciously.</p>","<p>Combining premium THC distillate with the anti-inflammatory effects of turmeric, a powerful anti-oxidant, our mouthwatering Pineapple-Strawberry gummies are the perfect fruit chew for those seeking a smooth, calming edible experience. Our water-soluble, fast-acting formula uses the immunity boosting effects of Vitamin C to deliver mouthwatering, everyday relief directly and deliciously. And our formulas are 100% vegan, gmo-free, and corn syrup free, so you can feel good about feeling good.</p>","<p>Tapioca syrup, cane sugar, pectin, citric acid, ascorbic acid (vitamin C), cannabis distillate, pineapple extract, strawberry extract, turmeric powder, sunflower oil.</p>","<p>Each pack contains 10 x 10 mg pieces, approximately 0 mg CBD - 100 mg THC per pack.</p>",https://images.ctfassets.net/4a6u5f7bz40f/1mvAIvkXStIZlRN9MXuwVo/54123541f405f2bd1a7a4bf894b1e4bc/elefante-pineapple-strawberry-gummies-new.jpg,https://images.ctfassets.net/4a6u5f7bz40f/1mvAIvkXStIZlRN9MXuwVo/54123541f405f2bd1a7a4bf894b1e4bc/elefante-pineapple-strawberry-gummies-new.jpg,https://images.ctfassets.net/4a6u5f7bz40f/1mvAIvkXStIZlRN9MXuwVo/54123541f405f2bd1a7a4bf894b1e4bc/elefante-pineapple-strawberry-gummies-new.jpg,,"Elefante - Pineapple-Strawberry Gummies",
S0CEPRO1,,Edibles,simple,"Shop/Products/Ingest/Edibles,Shop/Explore/Cannabinoids/THC,Shop/Explore/Cannabinoids/CBD,Shop/Explore/Strain/Hybrid/Balanced,Shop/Explore/Helps With/Anxiety,Shop/Explore/Helps With/Mood,Shop/Explore/Helps With/Energy,Shop/Explore/Helps With/Stress,Shop/Explore/Helps With/Focus,Shop/Explore/Helps With/Energizing,Shop/Explore/Helps With/Socializing,Shop/Explore/Feeling/Daytime,Shop/Explore/High/High",base,"High Dose Cold Brew",,1,,Catalog,16,,somatik-high-dose-cold-brew,,"Balanced Hybrid",Edibles,Anxiety|Mood|Energy|Stress|Focus|Energizing|Socializing,Daytime,THC|CBD,,High,,,High,,,,,,1,,,,1,None,,,,"Ritual Roasters single-origin cold brew coffee in a high dose formula","<p>Somatik High Dose Cold Brew coffee is an uplifting coffee infused with 66 mg of THC per bottle. High Dose Cold Brew is designed for those seeking a higher dose of stress-relief and energy.</p>","<p>Somatik High Dose cold brew coffee is an uplifting coffee infused with approximately 66 mg of THC per bottle. High Dose Cold Brew is designed for those seeking a higher dose of stress-relief and energy.<br>
Brewed with dandelion root, cacao nibs and four times the dose of THC, this High Dose will put your mind and body at ease.</p>
<p>As you know, caffeine and THC are great on their own. Together, they are magical! Caffeine sparks your motivation while THC helps ease anxiety and adaptogens support you in times of stress. Somatik High Dose coffee is a restorative treat anytime of day.</p>","<p>Filtered water, organic coffee, dandelion root, cacao nibs, butane-free THC, vegan protein (used for cannabis infusion). No sugar! Each bottle is only 2 calories.</p>","<p>Approximately 2.16 mg CBD - 66 mg THC per 8 fl oz bottle | 0.27 mg CBD - 8.25 mg THC per serving.<br>
Start with 1 oz of coffee for approximately 8.25 mg of THC. High dose patients may try 1/2 a bottle. You may start feeling effects within 15 minutes.</p>
<p>High Dose Cold Brew is ready to drink. Combine it with your favorite milk or sweetener, add a shot to your morning smoothie, extra dirty chai, or pour some into your cup of hot coffee. Store your bottle in the refrigerator. Drink it within 7 days of opening.</p>",https://images.ctfassets.net/4a6u5f7bz40f/5lMwqljn6Oq5DPUZDcipXc/d60c54fb9a3bcc0a95771bbef121a655/Somatik_High_Dose_newdosing.jpg,https://images.ctfassets.net/4a6u5f7bz40f/5lMwqljn6Oq5DPUZDcipXc/d60c54fb9a3bcc0a95771bbef121a655/Somatik_High_Dose_newdosing.jpg,https://images.ctfassets.net/4a6u5f7bz40f/5lMwqljn6Oq5DPUZDcipXc/d60c54fb9a3bcc0a95771bbef121a655/Somatik_High_Dose_newdosing.jpg,," - High Dose Cold Brew",
9C4430UJZE16EW,,Edibles,simple,"Shop/Products/Ingest/Edibles,Shop/Explore/Cannabinoids/THC,Shop/Explore/Helps With/Mood,Shop/Explore/Helps With/Energy,Shop/Explore/Helps With/Stress,Shop/Explore/Helps With/Creativity,Shop/Explore/Helps With/Energizing,Shop/Explore/Helps With/Socializing,Shop/Explore/Feeling/Anytime,Shop/Explore/High/Low",base,"THC Dark Chocolate Coffee Bean Sparks",,1,,Catalog,21,,somatik-sparks-cacao-coffee-beans,,,Edibles,Mood|Energy|Stress|Creativity|Energizing|Socializing,Anytime,THC,"Humboldt County",Low,,,Low,,,,,,1,,,,1,None,,,,"Raw cacao cannabis coffee beans","<p>Somatik Sparks are the perfect artisanal edibles to integrate into your daily routine. At approximately 3mg THC each, you can easily control your dose, and at approximately 75mg THC per box, you’ll have plenty to share.</p>","<p>Somatik Sparks are the perfect artisanal edibles to integrate into your daily routine. At approximately 3mg THC each, you can easily control your dose, and at approximately 75mg THC per box, you’ll have plenty to share.
We partnered with award-winning Bay Area chocolatier Endorphin Foods and acclaimed Ritual Coffee to bring you a vegan, cane-sugar free, ethically sourced chocolate with an amazingly complex taste. Rich, raw cacao coats an organic single-origin coffee bean perfectly blending flavor notes of fruit, chocolate, tartness, and just a little sparkle, for a new take on a classic treat.</p>
<p>Our lab-tested cannabis comes from the hills of Humboldt County, and our proprietary blend ensures that the THC is evenly distributed, tasteless, fast acting, a consistently uplifting feeling.</p>
<p>Each ingredient is sourced from direct trade relationships, and the rare, single-origin chocolate comes from a collective focused on regenerative farming practices. The entire experience can effortlessly lighten your mood, and help spark a little magic throughout your day.</p>","<p>Cacao*, Cocoa Butter*, Coconut Sugar, Coffee Bean*, Starch, Cannabis (extracted with C02) *Organic Ingredient</p>","<p>Full pack: Approximately 90 mg Hybrid THC per pack | 3 mg THC per bean</p>",https://images.ctfassets.net/4a6u5f7bz40f/4NBMQH9qGKCvD71REsO5wh/c6a480946bb2b585b1f19cdc2a2e9683/SOMATIK_SPARKS_full.jpg,https://images.ctfassets.net/4a6u5f7bz40f/4NBMQH9qGKCvD71REsO5wh/c6a480946bb2b585b1f19cdc2a2e9683/SOMATIK_SPARKS_full.jpg,https://images.ctfassets.net/4a6u5f7bz40f/4NBMQH9qGKCvD71REsO5wh/c6a480946bb2b585b1f19cdc2a2e9683/SOMATIK_SPARKS_full.jpg,," - THC Dark Chocolate Coffee Bean Sparks",
S2A0PRO1,,Concentrates,simple,"Shop/Products/Inhale/Vaping,Shop/Explore/Cannabinoids/THC,Shop/Explore/Cannabinoids/CBD,Shop/Explore/Strain/Hybrid/Balanced,Shop/Explore/Helps With/Mood,Shop/Explore/Helps With/Stress,Shop/Explore/Helps With/Creativity,Shop/Explore/Helps With/Focus,Shop/Explore/Helps With/Energizing,Shop/Explore/Helps With/Socializing,Shop/Explore/Feeling/Anytime",base,"Chemdawg 1 Gram Cartridge",,1,,Catalog,33,,cali-heights-chemdawg-1g-cartridge,"Cali Heights","Balanced Hybrid",Vaping,Mood|Stress|Creativity|Focus|Energizing|Socializing,Anytime,THC|CBD,Mendocino,,,,,,,,,,1,,,,1,None,,,,"1 gram hybrid cartridge that's great for indoor and outdoor activities alike.","<p>Chemdawg is a well balanced and powerful hybrid and tastes like a traditional OG. Enjoy your life to the fullest with Chemdawg in your pocket.</p>","<p>Chemdawg is a well balanced and powerful hybrid and tastes like a traditional OG. Great strain for anything. Indoor and outdoor activities alike can be enjoyed to the fullest when you've got Chemdawg in your pocket.</p>","<p>100% Cannabis oil extract</p>","<p>0.26% CBD - 89.11% THC
Attach to a standard vape pen battery. Take 1-3 inhales until desired effect is achieved.</p>",https://images.ctfassets.net/4a6u5f7bz40f/2L8jzeq9EnPIjB0jAa7rkN/8c543bda0ece16ea68b9d93e4e841a75/cali-heights-hybrid-1gcart.jpg,https://images.ctfassets.net/4a6u5f7bz40f/2L8jzeq9EnPIjB0jAa7rkN/8c543bda0ece16ea68b9d93e4e841a75/cali-heights-hybrid-1gcart.jpg,https://images.ctfassets.net/4a6u5f7bz40f/2L8jzeq9EnPIjB0jAa7rkN/8c543bda0ece16ea68b9d93e4e841a75/cali-heights-hybrid-1gcart.jpg,,"Cali Heights - Chemdawg 1 Gram Cartridge",
S539PRO1,,Flower,simple,"Shop/Products/Inhale/Pre-Rolls,Shop/Explore/Cannabinoids/THC,Shop/Explore/Terpenes/Lymonene,Shop/Explore/Terpenes/Caryophyllene,Shop/Explore/Terpenes/Linalool,Shop/Explore/Terpenes/Humulene,Shop/Explore/Strain/Hybrid/Balanced,Shop/Explore/Helps With/Mood,Shop/Explore/Helps With/Energy,Shop/Explore/Helps With/Stress,Shop/Explore/Helps With/Focus,Shop/Explore/Helps With/Energizing,Shop/Explore/Helps With/Socializing,Shop/Explore/Feeling/Daytime",base,"Runtz x Citrus Cookies Junior Live Rosin Infused Cone",,1,,"Catalog, Search",11,,doc-greens-runtz-junior-live-rosin-cone,"Doc Green's","Balanced Hybrid",Pre-Rolls,Mood|Energy|Stress|Focus|Energizing|Socializing,Daytime,THC,,,,Lymonene|Caryophyllene|Linalool|Humulene,,,,,,24,1,,1,1,1,None,,,,"Hybrid strain that produces euphoric and cerebral effects.","<p>Runtz tastes just like the sweet sugary candy we all loved back in the day. A euphoric strain perfect for socializing.</p>","<ul>
<li>Runtz Flower: Humboldt's Finest, Humboldt - Lineage: Zkittlez x Gelato</li>
<li>Top Terps: β-Caryophyllene, Linalool, α-Humulene, δ-Limonene</li>
<li>Tastes just like the sweet sugary candy we all loved back in the day</li>
<li>Effect notes: euphoric, social and cerebral</li>
</ul>
<hr>
<p><strong>Junior Live Rosin Infused Cones:</strong> Same high quality full flower + premium Live Rosin Infused Paper, half the size and minus the fancy box. Low price, high potency, superior experience. Doc's Junior Live Rosin Infused Cones feature 0.6 gram of high quality full flower in Doc Green's proprietary 36 mg premium Live Rosin Infused Paper. Always full flower- never shake nor trim.</p>",,"<p>27.396% THC</p>",https://images.ctfassets.net/4a6u5f7bz40f/6AFmELDEsbTRLKBQEkxJ4m/7912495fe227c482b99e3ee9a3d22fa6/Doc_Greens-Infused_Juniors-Generic.jpg,https://images.ctfassets.net/4a6u5f7bz40f/6AFmELDEsbTRLKBQEkxJ4m/7912495fe227c482b99e3ee9a3d22fa6/Doc_Greens-Infused_Juniors-Generic.jpg,https://images.ctfassets.net/4a6u5f7bz40f/6AFmELDEsbTRLKBQEkxJ4m/7912495fe227c482b99e3ee9a3d22fa6/Doc_Greens-Infused_Juniors-Generic.jpg,,"Doc Green's - Runtz x Citrus Cookies Junior Live Rosin Infused Cone",
8162A8B5OH1ZR1,,Edibles,simple,"Shop/Products/Ingest/Edibles,Shop/Explore/Cannabinoids/THC,Shop/Explore/Strain/Sativa,Shop/Explore/Helps With/Energy,Shop/Explore/Helps With/Creativity,Shop/Explore/Helps With/Energizing,Shop/Explore/Helps With/Socializing,Shop/Explore/Feeling/Daytime,Shop/Explore/High/Medium",base,"Spiced Dark Chocolate With Chili",,1,,"Catalog, Search",27,,garden-society-spiced-dark-chocolate-with-chili,"Garden Society",Sativa,Edibles,Energy|Creativity|Energizing|Socializing,Daytime,THC,Mendocino,Medium,,,,,,,,14,1,,1,1,1,None,,,,"Vegan gourmet chocolates to lighten your mood and lift spirits.","<p>Rich dark chocolate is paired with the warmth of Ceylon cinnamon. Infused with a Headband (sativa) cannabis strain, these dark chocolates will lighten your mood and brighten your day.</p>","<p>Rich dark chocolate with cinnamon and chili, infused with a strain of sativa hybrid to lighten your mood and lift spirits. Artfully crafted with sungrown Mendocino County cannabis.
A feast for the senses. We paired rich dark chocolate with the warmth of Ceylon cinnamon. Sweet meets spice—with just the right amount of heat. Featuring cayenne pepper and New Mexico chile powder. Infused with a Sativa cannabis strain, our dark chocolates will lighten your mood and brighten your day.</p>","<p>Dark chocolate (chocolate, sugar, cocoa butter, soy lecithin (emulsifier), vanilla.), grapeseed oil, cocoa butter, ceylon cinnamon, sea salt, chili powder, cayenne pepper powder, decarboxylated cannabis extract.</p>","<p>Full Pack | Approximately 0 mg CBD - 100 mg THC per package | Approximately 0 mg CBD - 10 mg THC per serving. Ten pieces per package.
Single Serving | Approximately 0 mg CBD - 10 mg THC.</p>
<p>Exact doage will vary batch to batch. May take up to two hours for benefits to take effect.</p>",https://images.ctfassets.net/4a6u5f7bz40f/OCFGZZ7qVdIEQy5vGiRF3/5a9804dcb2ef0858b39b4693f3a36df7/GS.dark-chocolate_v2.jpg,https://images.ctfassets.net/4a6u5f7bz40f/OCFGZZ7qVdIEQy5vGiRF3/5a9804dcb2ef0858b39b4693f3a36df7/GS.dark-chocolate_v2.jpg,https://images.ctfassets.net/4a6u5f7bz40f/OCFGZZ7qVdIEQy5vGiRF3/5a9804dcb2ef0858b39b4693f3a36df7/GS.dark-chocolate_v2.jpg,,"Garden Society - Spiced Dark Chocolate With Chili","Url key: 'garden-society-spiced-dark-chocolate-with-chili.html' was already generated for an item with the SKU: 'garden-society-spiced-dark-chocolate-with-chili'. You need to specify the unique URL key manually"
SD93PRO1,,Concentrates,simple,"Shop/Products/Inhale/Vaping,Shop/Explore/Cannabinoids/THC,Shop/Explore/Strain/Indica,Shop/Explore/Helps With/Anxiety,Shop/Explore/Helps With/Mood,Shop/Explore/Helps With/Energy,Shop/Explore/Helps With/Headache,Shop/Explore/Helps With/Sleep,Shop/Explore/Helps With/Muscle pain,Shop/Explore/Helps With/Pain,Shop/Explore/Helps With/Stress,Shop/Explore/Helps With/Athletic Recovery,Shop/Explore/Helps With/Creativity,Shop/Explore/Helps With/Focus,Shop/Explore/Helps With/Socializing,Shop/Explore/Helps With/Hangover,Shop/Explore/Feeling/Nighttime,Shop/Explore/High/Medium",base,"Biscotti Cartridge",,1,,"Catalog, Search",35.5,,sonder-biscotti-cartridge,Sonder,Indica,Vaping,"Anxiety|Mood|Energy|Headache|Sleep|Muscle pain|Pain|Stress|Athletic Recovery|Creativity|Focus|Socializing|Hangover",Nighttime,THC,Mendocino,Medium,,,Medium,,,,,8,1,,1,1,1,None,,,,"A full spectrum indica half gram cartridge for a relaxing and euphoric high.","<p>Yummy for your mind and mouth, this Biscotti brings waves of euphoric relaxation on purple pillows of happy. Each puff brings deeper relaxation as your body buoys in the present.</p>","<p>Sun grown in the Emerald Triangle, our specially calibrated strain specific, full-spectrum cartridges allow for a smooth and more flavorful experience. Biscotti tastes: sugary, spicy, earthy. Biscotti feels: relaxed, happy, euphoric.
Yummy for your mind and mouth, this Biscotti brings waves of euphoric relaxation on purple pillows of happy. Each puff brings deeper relaxation as your body buoys in the present.</p>","<p>100% full-spectrum, sun-grown cannabis from the Emerald Triangle, 0.5g.</p>","<p>Build your full spectrum high one puff at a time!
Sonder cartridges are bottom airflow and work best with Sonder and most 510 power supplies.  If using a power supply made for top airflow cartridges, loosen the cartridge slightly to let air through.  Extreme temperatures can cause your cartridge to leak or become inoperable. Optimal temperature for operation is 50°-85°F.</p>",https://images.ctfassets.net/4a6u5f7bz40f/3DdJ2pA9RZCTAOmWEizxLK/1fb50fd1221689f1d49b17bfa93f6411/Sonder_Biscotti_-_Faun_Chapin.png,https://images.ctfassets.net/4a6u5f7bz40f/3DdJ2pA9RZCTAOmWEizxLK/1fb50fd1221689f1d49b17bfa93f6411/Sonder_Biscotti_-_Faun_Chapin.png,https://images.ctfassets.net/4a6u5f7bz40f/3DdJ2pA9RZCTAOmWEizxLK/1fb50fd1221689f1d49b17bfa93f6411/Sonder_Biscotti_-_Faun_Chapin.png,,"Sonder - Biscotti Cartridge",
